carpeta	url	screenshots
001_inicio	https://fis.epn.edu.ec/index.php/es	1
002_inicio	https://fis.epn.edu.ec/index.php/es/	1
003_category_list	https://fis.epn.edu.ec/index.php/es/category-list	1
004_category_list	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion	2
005_ayuda_socioeconomica	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/288-ayuda-socioeconomica	1
006_asociacion_de_estudiantes	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/308-asociacion-de-estudiantes	1
007_proceso_de_admision	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/309-proceso-de-admision	1
008_futuro_profesional	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/310-futuro-profesional	1
009_nuestra_historia	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/311-nuestra-historia	1
010_vida_estudiantil	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/312-vida-estudiantil	1
011_inicio_del_ciclo_2021_a	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/478-incio-ciclo-2021-a	1
012_practicas_pre_profesionales	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/574-practicas-preprofresionales	1
013_oferta_academica_carreras_de_tercer_nivel_2022_a	https://fis.epn.edu.ec/index.php/es/category-list/126-informacion/603-oferta-academica-2022a	1
014_ayuda_socioeconomica	https://fis.epn.edu.ec/index.php/es/category-list/288-ayuda-socioeconomica	1
015_asociacion_de_estudiantes	https://fis.epn.edu.ec/index.php/es/category-list/308-asociacion-de-estudiantes	1
016_proceso_de_admision	https://fis.epn.edu.ec/index.php/es/category-list/309-proceso-de-admision	1
017_proceso_de_reclutamiento_para_la_contratacion_de_ayudantes_de_catedr	https://fis.epn.edu.ec/index.php/es/category-list/617-proceso-de-reclutamiento-para-la-contratacion-de-ayudantes-de-catedra	1
018_dia_del_doctorando	https://fis.epn.edu.ec/index.php/es/category-list/635-dia-del-doctorando	1
019_la_epn_entrego_los_premios_a_la_investigacion_y_vinculacion_2022	https://fis.epn.edu.ec/index.php/es/category-list/645-evento-premios-a-la-investigacion-y-vinculacion-2022	1
020_cuando_debo_entregar_mi_empastado	https://fis.epn.edu.ec/index.php/es/category-list/692-cuando-debo-entregar-mi-empastado	1
021_conferencia_virtual_oportunidades_en_cerveceria_nacional	https://fis.epn.edu.ec/index.php/es/category-list/699-conferencia-virtual-oportunidades-en-cerveceria-nacional	1
